,sortname,Android,iOS,country,year,code,gdp,population,LandArea,ChildPercentage,GovEduc,WorkingPercentage,EduDuration,percapita,percapita_log,population_log,density,ios,index,cs,island,LangCount,EthnicCount,ReliCount,NonReli,Unnamed: 7,OSX,Windows,store
1565,Macao2020,35.57,63.275,Macao,2020,MAC,,,,,,,,,,,,0.640143659,111,Macao,1,2,1,3,15.4,,30.23416667,65.76916667,1
1579,Macedonia North2020,84.535,15.18666667,Macedonia North,2020,MKD,,,,,,,,,,,,0.152290542,112,Macedonia North,0,5,1,2,0,North-Macedonia,4.921666667,90.87916667,
1593,Madagascar2020,79.49083333,8.171666667,Madagascar,2020,MDG,13225591804,27691019,581800,40.06253941,15.33696365,56.83676563,5,477.6130414,2.679984528,7.442338953,0.009030175,0.093217358,113,Madagascar,1,2,6,3,0,Madagascar,8.94,81.18,
1607,Malawi2020,88.97,5.868333333,Malawi,2020,MWI,12172128470,19129955,94280,42.99205769,11.49765015,54.36639883,8,636.2863096,2.804334589,7.281713971,0.002135118,0.06187723,114,Malawi,0,1,5,5,0,Malawi,8.050833333,82.49333333,
1621,Malaysia2020,78.47833333,20.51,Malaysia,2020,MYS,3.37006E+11,32365998,328550,23.44811912,15.44262028,69.36819716,6,10412.34767,4.017590368,7.510089016,0.004386335,0.207196134,115,Malaysia,1,4,3,4,0,Malaysia,13.7175,80.65333333,
1635,Maldives2020,72.02916667,27.86916667,Maldives,2020,MDV,3742769967,540542,300,19.59969956,10.50504017,76.80688344,7,6924.105745,3.840426409,5.732830248,0.000240966,0.278975292,116,Maldives,1,1,1,1,0,Maldives,12.6875,84.89,
1649,Mali2020,88.69833333,8.34,Mali,2020,MLI,17465392779,20250834,1220190,47.00730088,14.46612072,50.51554669,9,862.453012,2.936238709,7.306442935,0.025409844,0.085945417,117,Mali,0,1,6,1,0,Mali,19.8075,70.86916667,
1663,Malta2020,73.40333333,26.23333333,Malta,2020,MLT,14917038504,515332,320,14.37391149,,64.30223104,11,28946.46268,4.461610503,5.712087954,0.000269595,0.263289953,118,Malta,1,2,1,2,0,Malta,21.45,75.5375,
1677,Marshall Islands2020,68.865,30.9225,Marshall Islands,2020,MHL,244462400,59194,180,,16.16671944,,13,4129.850998,3.61603953,4.772285025,0.00131862,0.309883502,119,Marshall Islands,1,2,1,4,54.5,Marshall-Islands,19.46583333,74.72083333,
1691,Mauritania2020,89.51083333,10.07,Mauritania,2020,MRT,7915985514,4649660,1030700,39.68509082,9.727089882,57.13704105,9,1702.486959,3.231338813,6.66742129,0.086954664,0.101123878,120,Mauritania,0,1,3,1,0,Mauritania,8.101666667,83.16,
1705,Mauritius2020,89.76,9.745,Mauritius,2020,MUS,10926820603,1265740,2030,16.78474376,16.11787987,70.69512678,11,8632.752859,3.936199613,6.102344848,0.000695966,0.097934777,121,Mauritius,1,3,1,4,0,Mauritius,19.365,77.2625,
1719,Mexico2020,84.30833333,15.375,Mexico,2020,MEX,1.08712E+12,128932753,1943950,25.83526546,,66.54663071,14,8431.665017,3.925964849,8.110363259,0.00649909,0.154238422,122,Mexico,0,1,2,2,0,Mexico,25.14166667,70.3225,1
1733,Micronesia Federated States of2020,82.91833333,17.0075,Micronesia Federated States of,2020,FSM,,,,,,,,,,,,0.170201233,123,Micronesia Federated States of,1,1,5,2,0,Micronesia-republic-Pacific-Ocean,13.40666667,73.67416667,
1747,Moldova Republic of2020,84.58833333,14.88,Moldova Republic of,2020,MDA,,,,,,,,,,,,0.149595349,124,Moldova Republic of,0,4,3,2,0,Moldova,9.97,86.39833333,
1761,Monaco2020,34.8625,64.35833333,Monaco,2020,MCO,6816219303,39244,2.027,,,,11,173688.1894,5.239772788,4.593784333,2.24E-05,0.648637299,125,Monaco,0,1,4,2,11.7,Monaco,33.91666667,63.54666667,
1775,Mongolia2020,72.96333333,26.72833333,Mongolia,2020,MNG,13312981595,3278292,1557506.803,31.09294785,16.42383003,64.59474299,12,4060.950518,3.608734629,6.515647766,0.16882059,0.268110006,126,Mongolia,0,1,1,1,38.9,Mongolia,7.338333333,90.52583333,
1789,Montenegro2020,85.3125,14.48166667,Montenegro,2020,MNE,4780722122,621306,13450,18.04491885,,66.18556012,9,7694.633759,3.886244391,5.793306247,0.009301267,0.145115362,127,Montenegro,0,2,3,2,5.4,Montenegro,5.5875,88.39416667,
1803,Morocco2020,81.4375,18.11083333,Morocco,2020,MAR,1.14725E+11,36910558,446300,26.76799268,14.81815052,65.62536304,9,3108.19103,3.492647406,7.567150623,0.005219731,0.181930051,128,Morocco,0,3,4,1,0,Morocco,14.65083333,81.97416667,
1817,Mozambique2020,88.02083333,7.4025,Mozambique,2020,MOZ,14028811072,31255435,786380,44.0627878,17.9349308,53.07538673,,448.8438914,2.653061827,7.494925562,0.010791561,0.077575366,129,Mozambique,0,1,1,4,13.9,Mozambique,10.06,72.72833333,
1831,Myanmar2020,89.28,10.55583333,Myanmar,2020,MMR,78930257227,54409794,652670,25.48559451,,68.27831751,5,1450.662673,3.16186571,7.73567709,0.00517856,0.10573191,130,Myanmar,0,1,3,2,0,Myanmar,13.78,81.5425,
1845,Namibia2020,88.00666667,11.31333333,Namibia,2020,NAM,10562637376,2540916,823290,36.84124357,24.94137955,59.57290808,7,4157.019506,3.618886522,6.404990479,0.121892273,0.113907907,131,Namibia,0,1,3,5,0,Namibia,12.37583333,78.32416667,
1859,Nauru2020,94.72833333,5.189166667,Nauru,2020,NRU,114626625.6,10834,20,,,,14,10580.26819,4.024537722,4.034828916,0.000800986,0.051934513,132,Nauru,1,2,1,3,6.6,Nauru,10.57916667,81.46166667,
1873,Nepal2020,92.58916667,7.2075,Nepal,2020,NPL,33433670512,29136808,143350,28.80971382,13.18999958,65.36213919,9,1147.471971,3.060120401,7.464441987,0.002131444,0.072221851,133,Nepal,0,1,6,2,0,Nepal,4.941666667,90.34666667,
1887,Netherlands2020,60.63833333,38.88583333,Netherlands,2020,NLD,9.13865E+11,17441500,33670,15.701658,,64.26352061,13,52396.03221,4.719306689,7.241583857,0.000837577,0.390717497,134,Netherlands,0,1,1,4,51,Netherlands,24.33166667,70.1875,1
1901,New Caledonia2020,71.94333333,27.44416667,New Caledonia,2020,NCL,9435529927,271960,18280,22.10803578,,68.19382272,0,34694.5504,4.540273781,5.434506629,0.028252233,0.276132981,135,New Caledonia,1,2,4,3,5.8,,28.97416667,67.35833333,
1915,New Zealand2020,58.23083333,41.41833333,New Zealand,2020,NZL,2.11735E+11,5090200,263310,19.43068699,,64.20100397,10,41596.5055,4.619067288,6.706734932,0.021903772,0.415641542,136,New Zealand,1,3,5,4,31.1,New-Zealand,25.52416667,68.83333333,
1929,Nicaragua2020,90.46166667,9.1075,Nicaragua,2020,NIC,12586941393,6624554,120340,29.5006577,22.81999969,64.8218431,7,1900.043594,3.278992076,6.82115671,0.007818484,0.091469079,137,Nicaragua,0,2,4,3,0,Nicaragua,12.01833333,82.58166667,
1943,Niger2020,92.63583333,4.4575,Niger,2020,NER,13741378450,24206636,1266700,49.67195783,13.33253956,47.73194913,,567.6698923,2.754860236,7.383934458,0.022151384,0.045909434,138,Niger,0,1,5,3,0,Niger,6.92,84.13416667,
1957,Nigeria2020,85.17583333,7.249166667,Nigeria,2020,NGA,4.32294E+11,206139587,910770,43.48761072,5.131436825,53.77432522,9,2097.092473,3.321824626,8.314161404,0.001914582,0.078432964,139,Nigeria,0,1,4,4,0,Nigeria,8.785833333,74.70833333,
1971,Northern Mariana Islands2020,69.79333333,29.9925,Northern Mariana Islands,2020,MNP,,57557,460,,,,,,,4.760105695,0.003457119,0.300568718,140,Northern Mariana Islands,1,3,4,4,0,,29.77666667,65.88583333,
1985,Norway2020,44.2675,55.52083333,Norway,2020,NOR,3.62198E+11,5379475,364285,17.25710036,,65.21632224,10,67329.67779,4.828212986,6.730739974,0.028456391,0.556386017,141,Norway,0,1,2,1,0,Norway,27.5625,66.9875,
1999,Oman2020,85.33666667,14.37833333,Oman,2020,OMN,73971391417,5106622,309500,22.48688273,12.2049799,75.00210511,10,14485.38612,4.160960057,6.708133797,0.025554727,0.144194287,142,Oman,0,1,4,3,0,Oman,17.85083333,77.985,
2013,Pakistan2020,94.62583333,4.53,Pakistan,2020,PAK,3.00306E+11,220892331,770880,34.81956368,,60.83178665,12,1359.514522,3.133703182,8.34418064,0.001512982,0.045685663,143,Pakistan,0,2,4,1,0,Pakistan,3.939166667,87.62416667,
2027,Palau2020,78.77916667,20.88333333,Palau,2020,PLW,257700000,18092,460,,,,12,14243.86469,4.153658328,4.257510583,0.010904157,0.209540533,144,Palau,1,2,2,4,11.2,Palau,10.53916667,84.92666667,
2041,Panama2020,83.9525,15.75083333,Panama,2020,PAN,53977037000,4314768,74180,26.49477944,10.24318027,64.96642808,11,12509.83529,4.097286307,6.63495755,0.007402986,0.157976998,145,Panama,0,1,3,2,0,Panama,28.03416667,68.68083333,
2055,Papua New Guinea2020,94.54416667,4.6425,Papua New Guinea,2020,PNG,24667052023,8947027,452860,35.14601056,,61.28241078,,2757.011019,3.440595997,6.951678796,0.021443885,0.046805686,146,Papua New Guinea,1,2,1,5,0,Papua-New-Guinea,6.434166667,77.21,
2069,Paraguay2020,94.15666667,5.664166667,Paraguay,2020,PRY,35432178068,7132530,397300,28.89350186,9.843669891,64.29551444,13,4967.687212,3.696241658,6.853243668,0.023541564,0.056743332,147,Paraguay,0,2,1,2,0,Paraguay,9.786666667,86.81,
2083,Peru2020,90.90416667,8.306666667,Peru,2020,PER,2.01705E+11,32971846,1280000,24.69213894,15.92708969,66.58259799,14,6117.493571,3.786644508,7.518143276,0.01654072,0.083727416,148,Peru,0,1,3,2,5.1,Peru,9.043333333,88.615,
2097,Philippines2020,83.91666667,15.76416667,Philippines,2020,PHL,3.61751E+11,109581085,298170,30.04267854,14.23373985,64.44567282,13,3301.218603,3.51880582,8.0397356,0.00118011,0.158146417,149,Philippines,1,2,6,2,0,Philippines,11.72666667,82.71083333,
2111,Poland2020,94.10333333,5.28,Poland,2020,POL,5.96624E+11,37899070,306130,15.21770602,,66.04284331,10,15742.45373,4.197100012,7.578628564,0.003493925,0.05312762,150,Poland,0,1,1,1,11.8,Poland,5.114166667,89.835,
2125,Portugal2020,76.93833333,22.8125,Portugal,2020,PRT,2.28539E+11,10297081,91605.6,13.05395692,,64.17377411,12,22194.56611,4.346266227,7.012714171,0.003846516,0.228694831,151,Portugal,0,2,1,1,6.8,Portugal,17.63916667,80.09166667,
2139,Puerto Rico2020,59.7925,39.96333333,Puerto Rico,2020,PRI,1.03138E+11,3281538,8870,15.75229486,19.43918037,63.4203505,13,31429.86612,4.497356349,6.51607757,0.001172315,0.400611493,152,Puerto Rico,1,2,2,2,0,,32.09333333,63.07083333,
2153,Qatar2020,79.02333333,20.80416667,Qatar,2020,QAT,1.44411E+11,2881060,11490,13.63921455,9.319160461,84.6716461,9,50124.38594,4.700057729,6.459552454,0.001728572,0.208401159,153,Qatar,0,1,2,3,0,Qatar,18.05,78.19666667,
2167,Romania2020,81.33,18.155,Romania,2020,ROU,2.49511E+11,19257520,230080,15.52059444,,65.24849058,10,12956.56625,4.112523438,7.28460038,0.005157999,0.182489823,154,Romania,1,1,2,1,0,Romania,6.141666667,89.86833333,
2181,Russian Federation2020,74.99583333,24.5275,Russian Federation,2020,RUS,1.48832E+12,144073139,16376870,18.36226182,,66.12880993,11,10330.32171,4.014155885,8.158583022,0.046756727,0.246449744,155,Russian Federation,0,1,1,3,27,Russia,11.81416667,83.71333333,
2195,Rwanda2020,83.91666667,8.855833333,Rwanda,2020,RWA,10184345442,12952209,24670,39.47423522,10.78352451,57.40646119,6,786.3018148,2.896141253,7.112343877,0.000826411,0.095457526,156,Rwanda,1,3,2,3,0,Rwanda,11.84083333,81.21833333,
2209,Saint Kitts and Nevis2020,77.03833333,22.70083333,Saint Kitts and Nevis,2020,KNA,,,,,,,,,,,,0.227601995,157,Saint Kitts and Nevis,1,1,2,2,0,Saint-Kitts-and-Nevis,18.725,75.62083333,
2223,Saint Lucia2020,85.02666667,14.76666667,Saint Lucia,2020,LCA,,,,,,,,,,,,0.147972476,158,Saint Lucia,1,1,2,4,5.9,Saint-Lucia,15.72916667,70.76166667,
2237,Saint Vincent and the Grenadines2020,85.47416667,14.035,Saint Vincent and the Grenadines,2020,VCT,,,,,,,,,,,,0.141042283,159,Saint Vincent and the Grenadines,1,1,2,6,7.5,Saint-Vincent-and-the-Grenadines,14.93333333,74.1475,
2251,Samoa2020,92.42166667,7.4775,Samoa,2020,WSM,807147527.6,198410,2780,37.19848398,16.21499062,57.71770137,8,4068.078865,3.609496107,5.297565746,0.006042834,0.074850474,160,Samoa,1,2,1,5,0,Samoa-island-nation-Pacific-Ocean,5.421666667,68.49083333,
2265,San Marino2020,67.615,32.07,San Marino,2020,SMR,1544713785,33938,60,,,,10,45515.7577,4.658171318,4.530699042,0.000767124,0.321713397,161,San Marino,0,1,2,1,5.1,San-Marino-republic-Europe,34.20083333,64.48916667,
2279,Sao Tome and Principe2020,82.0075,17.14916667,Sao Tome and Principe,2020,STP,472914469.9,219161,960,41.75781054,16.12594032,55.2338713,6,2157.840446,3.334220546,5.340765255,0.001898204,0.172950213,162,Sao Tome and Principe,1,1,3,1,21.2,Sao-Tome-and-Principe,4.65,88.4975,
2293,Saudi Arabia2020,61.4875,38.3925,Saudi Arabia,2020,SAU,7.03368E+11,34813867,2149690,24.69623099,19.05945206,71.80531002,9,20203.66888,4.305451737,7.541752278,0.026021491,0.384386264,163,Saudi Arabia,0,1,2,2,0,Saudi-Arabia,19.59166667,78.22333333,
2307,Senegal2020,86.66,12.81583333,Senegal,2020,SEN,24493157583,16743930,192530,42.5915617,22.06278038,54.30029049,11,1462.808169,3.165484166,7.223857426,0.004965241,0.128833636,164,Senegal,0,1,3,1,0,Senegal,17.60833333,70.675,
2321,Serbia2020,89.34666667,10.20916667,Serbia,2020,SRB,53335016425,6899126,87460,15.36710528,,65.57439303,8,7730.691746,3.888274531,6.83879414,0.005470933,0.102547147,165,Serbia,0,1,1,2,6.3,Serbia,4.598333333,90.09,
2335,Seychelles2020,87.2225,12.35416667,Seychelles,2020,SYC,1200634489,98462,460,23.7668663,9.168009758,68.16679716,10,12193.88687,4.086177776,4.993273064,0.002024235,0.124066883,166,Seychelles,1,3,1,2,10.1,Seychelles,9.858333333,80.01,
2349,Sierra Leone2020,80.92833333,6.165,Sierra Leone,2020,SLE,4063289450,7976985,72180,40.34362365,34.24419022,56.72904154,9,509.376594,2.707890749,6.90183883,0.003912055,0.07078613,167,Sierra Leone,0,1,4,2,0,Sierra-Leone,7.920833333,79.685,
2363,Singapore2020,64.59333333,34.49583333,Singapore,2020,SGP,3.45296E+11,5685807,718,12.30117829,11.91199303,74.34727748,6,60729.45035,4.783406502,6.75479219,5.48E-05,0.34812921,168,Singapore,1,4,3,4,18.5,Singapore,26.76916667,68.75666667,1
2377,Slovakia2020,79.50833333,19.64416667,Slovakia,2020,SVK,,,,,,,,,,,,0.19812074,169,Slovakia,0,1,2,2,13.4,Slovakia,10.96583333,85.71333333,
2391,Slovenia2020,82.47333333,17.21666667,Slovenia,2020,SVN,53589609581,2102419,20136.4,15.13643024,,64.12581809,9,25489.50023,4.406378358,6.322719479,0.004139762,0.172702043,170,Slovenia,0,1,1,1,10.2,Slovenia,10.05416667,86.9125,
2405,Solomon Islands2020,91.66833333,7.6825,Solomon Islands,2020,SLB,1545888426,686878,27990,40.03004874,31.88999939,56.29902575,,2250.601164,3.352491464,5.836880239,0.01734625,0.077326981,171,Solomon Islands,1,1,1,5,6.3,Solomon-Islands,7.4025,79.34916667,
2419,Somalia2020,93.26666667,6.054166667,Somalia,2020,SOM,6965285325,15893219,627340,46.14990592,4.412380219,50.94795756,,438.2551656,2.642716877,7.201211895,0.016812871,0.060955657,172,Somalia,0,2,1,1,0,Somalia,6.370833333,88.6675,
2433,South Africa2020,84.30083333,15.07083333,South Africa,2020,ZAF,3.35442E+11,59308690,1213090,28.8011251,19.52728081,65.68943607,9,5655.867654,3.752576018,7.773118339,0.008793361,0.151661272,173,South Africa,0,11,3,2,6.7,South-Africa,15.28583333,71.865,
2447,Spain2020,79.6625,20.05666667,Spain,2020,ESP,1.28148E+12,47363419,499556.645,14.39946737,,65.62292093,10,27056.42175,4.432286411,7.675443054,0.00455665,0.201131511,174,Spain,0,1,1,1,27.5,Spain,19.72166667,75.7875,1
2461,Sri Lanka2020,89.425,9.978333333,Sri Lanka,2020,LKA,80969683537,21919000,61860,23.68485044,,65.08229088,11,3694.040948,3.567619256,7.340820756,0.001223944,0.100382281,175,Sri Lanka,1,2,3,4,0,Sri-Lanka,6.804166667,89.48833333,
2475,Sudan2020,92,5.796666667,Sudan,2020,SDN,26987563444,43849269,1868000,39.7993672,,56.52651151,8,615.462106,2.789906386,7.641962368,0.018117921,0.059272641,176,Sudan,0,2,1,4,0,Sudan,9.313333333,84.84333333,
2489,Suriname2020,83.09166667,16.63,Suriname,2020,SUR,2884248048,586634,156000,26.66543932,13.94235039,66.19959361,6,4916.605666,3.691753701,5.76836797,0.102407599,0.16676416,177,Suriname,0,1,5,4,7.9,Suriname,7.738333333,85.50333333,
2503,Swaziland2020,91.3475,5.4925,Swaziland,2020,SWZ,,,,,,,,,,,,0.056717266,178,Swaziland,0,2,2,3,0,Eswatini,6.378333333,79.56416667,
2517,Sweden2020,49.45333333,50.32333333,Sweden,2020,SWE,5.41487E+11,10353442,407283.532,17.62357954,,62.04761436,10,52300.2062,4.718511705,7.015084797,0.016756799,0.504359737,179,Sweden,0,1,1,1,30,Sweden,24.91666667,64.2825,1
2531,Switzerland2020,49.22916667,50.3775,Switzerland,2020,CHE,7.52248E+11,8636561,39516.03,14.95863135,,65.94382747,11,87100.41482,4.940025209,6.936340895,0.001982554,0.50576434,180,Switzerland,0,4,1,4,29.5,Switzerland,32.73083333,64.77583333,1
2545,Syrian Arab Republic2020,96.01,3.544166667,Syrian Arab Republic,2020,SYR,,17500657,183630,30.7746543,,64.35092326,9,,,7.243054378,0.004533201,0.035600385,181,Syrian Arab Republic,0,1,3,3,0,Syria,3.163333333,94.5575,
2559,Taiwan Province of China2020,52.9175,46.4025,Taiwan Province of China,2020,TWN,,,,,,,,,,,,0.467201973,182,Taiwan Province of China,1,1,2,2,18.2,Taiwan,14.29916667,81.30666667,1
2573,Tajikistan2020,89.5575,9.405,Tajikistan,2020,TJK,8133996648,9537642,138790,37.27005985,17.77205086,59.55018246,9,852.8309878,2.931371912,6.979441062,0.006274232,0.095035998,183,Tajikistan,0,1,2,1,0,Tajikistan,4.284166667,92.52833333,
2587,Tanzania United Republic of2020,86.01916667,8.001666667,Tanzania United Republic of,2020,TZA,,,,,,,,,,,,0.085105251,184,Tanzania United Republic of,0,2,2,2,0,Tanzania,13.1425,77.24666667,
2601,Thailand2020,73.84083333,25.955,Thailand,2020,THA,4.99682E+11,69799978,510890,16.55249519,12.06492233,70.4897672,9,7158.766684,3.85489887,7.843855292,0.003167174,0.260080999,185,Thailand,0,1,1,1,0,Thailand,15.75833333,80.09,1
2615,Timor-Leste2020,94.9725,4.9025,Timor-Leste,2020,TLS,1902156800,1318442,14870,36.83194976,,58.88497434,9,1442.730738,3.159486203,6.120061359,0.004870758,0.049086358,186,Timor-Leste,1,2,1,1,0,East-Timor,9.644166667,79.83333333,
2629,Togo2020,89.5275,6.725833333,Togo,2020,TGO,7574636979,8278737,54390,40.63633478,,56.45864024,10,914.9507925,2.961872143,6.917964139,0.002843915,0.069876368,187,Togo,0,1,7,5,0,Togo,5.516666667,88.70916667,
2643,Tonga2020,86.68333333,13.1975,Tonga,2020,TON,488829964.1,105697,720,34.76512607,15.52814007,59.31501017,15,4624.823449,3.665189053,5.02406677,0.002948351,0.132132458,188,Tonga,1,2,1,5,9,Tonga,7.8175,60.34083333,
2657,Trinidad and Tobago2020,81.11,18.39666667,Trinidad and Tobago,2020,TTO,21392536138,1399491,5130,20.06219417,11.76790047,68.42316619,7,15285.94049,4.184320575,6.14597042,0.001589047,0.184878735,189,Trinidad and Tobago,1,1,4,3,19.5,Trinidad-and-Tobago,18.05333333,73.75833333,
2671,Tunisia2020,93.045,6.45,Tunisia,2020,TUN,42514151614,11818618,155360,24.29068066,,66.83637065,9,3597.218525,3.556087535,7.072566732,0.00567176,0.064827378,190,Tunisia,0,1,2,1,0,Tunisia,10.5125,85.42583333,
2685,Turkey2020,84.12666667,15.49416667,Turkey,2020,TUR,,,,,,,,,,,,0.15553139,191,Turkey,0,1,3,2,0,Turkey,7.6725,86.965,1
2699,Turkmenistan2020,93.37,6.394166667,Turkmenistan,2020,TKM,,6031187,469930,30.79178273,27.99839973,64.44019432,12,,,6.780402866,0.032585188,0.064092819,192,Turkmenistan,0,1,2,1,9,Turkmenistan,2.35,88.87666667,
2713,Turks and Caicos Islands2020,56.9,42.9375,Turks and Caicos Islands,2020,TCA,924583000,38718,950,,11.62213039,,13,23879.92665,4.378051175,4.587924132,0.010527389,0.43007387,193,Turks and Caicos Islands,1,1,1,1,0,,23.6775,68.31166667,
2727,Tuvalu2020,97.625,2.266666667,Tuvalu,2020,TUV,55054710.62,11792,30,,,,8,4668.818743,3.669300024,4.071624299,0.001103484,0.022691249,194,Tuvalu,1,2,1,1,0,Tuvalu,9.786666667,85.18,
2741,Uganda2020,79.355,6.684166667,Uganda,2020,UGA,37600368181,45741000,200520,46.01588242,11.25,51.99841796,7,822.0276815,2.915414442,7.660305665,0.001899705,0.077687487,195,Uganda,0,2,6,4,0,Uganda,10.72416667,79.16666667,
2755,Ukraine2020,80.68916667,18.8425,Ukraine,2020,UKR,1.56618E+11,44132049,579400,15.99051781,13.08636761,67.06033888,11,3548.84636,3.550209557,7.644754102,0.005664653,0.189311609,196,Ukraine,0,1,2,2,42.5,Ukraine,11.98583333,84.76083333,
2769,United Arab Emirates2020,73.1125,26.64666667,United Arab Emirates,2020,ARE,3.58869E+11,9890400,71020,14.81407935,11.70623016,83.921513,12,36284.55524,4.559733773,6.9952139,0.003107395,0.267109956,197,United Arab Emirates,0,1,6,3,0,United-Arab-Emirates,24.3975,72.67333333,1
2783,United Kingdom2020,50.09916667,49.65166667,United Kingdom,2020,GBR,2.7569E+12,67081000,241930,17.67727522,,63.66937807,11,41098.07865,4.613832086,7.826599535,0.001563481,0.497756911,198,United Kingdom,1,1,1,1,25.7,United-Kingdom,28.6625,66.8175,1
2797,United States2020,40.29583333,59.51166667,United States,2020,USA,2.08937E+13,331501080,9147420,18.37174742,,64.99732686,12,63027.67953,4.799538209,8.520484949,0.011821533,0.596264476,199,United States,0,1,4,2,16,United-States,27.535,64.54666667,1
2811,Uruguay2020,85.29916667,14.51083333,Uruguay,2020,URY,53560755047,3473727,175020,20.33502892,16.36347961,64.57729875,14,15418.81531,4.188079172,6.540795809,0.021348067,0.145384564,200,Uruguay,0,1,3,4,0,Uruguay,12.27833333,77.48583333,
2825,Uzbekistan2020,90.5325,8.766666667,Uzbekistan,2020,UZB,59894305353,34232050,440650,28.80004642,20.53565025,66.41109739,12,1749.655815,3.243200771,7.534432921,0.005554754,0.0882854,201,Uzbekistan,0,1,1,1,18.1,Uzbekistan,4.499166667,92.77666667,
2839,Vanuatu2020,85.295,13.69833333,Vanuatu,2020,VUT,896827873.1,307150,12190,38.41019714,5.052800179,57.98108385,,2919.8368,3.465507292,5.487351934,0.016902801,0.138376322,202,Vanuatu,1,3,1,4,23.7,Vanuatu,16.0775,73.43666667,
2853,Venezuela Bolivarian Republic of2020,90.11666667,8.653333333,Venezuela Bolivarian Republic of,2020,VEN,,,,,,,,,,,,0.087610948,203,Venezuela Bolivarian Republic of,0,1,3,1,11.5,Venezuela,7.190833333,85.46833333,
2867,Viet Nam2020,62.69,36.23916667,Viet Nam,2020,VNM,,,,,,,,,,,,0.366314282,204,Viet Nam,0,1,1,1,86.3,Vietnam,11.6375,85.24666667,
2881,Virgin Islands British2020,67.90666667,31.865,Virgin Islands British,2020,VGB,,,,,,,,,,,,0.319379249,205,Virgin Islands British,1,1,4,1,0,,26.425,70.1075,
2895,Virgin Islands U.S2020,49.34083333,50.36666667,Virgin Islands U.S,2020,VIR,,,,,,,,,,,,0.505144213,206,Virgin Islands U.S,1,1,4,1,0,,26.48083333,69.31,
2909,Yemen2020,96.21,2.76,Yemen,2020,YEM,,,,,,,,,,,,0.027887239,207,Yemen,0,1,1,2,0,Yemen,1.841666667,71.53416667,
2923,Zambia2020,88.29083333,6.376666667,Zambia,2020,ZMB,18110631358,18383956,743390,44.01738908,12.37802029,53.85058873,7,985.132436,2.993935244,7.264438996,0.017215742,0.067358562,208,Zambia,0,1,5,2,0,Zambia,8.035,74.57583333,
2937,Zimbabwe2020,84.95666667,10.78416667,Zimbabwe,2020,ZWE,18051170799,14862927,386850,41.9111004,,55.0747215,7,1214.50982,3.084758472,7.172104374,0.011159148,0.112639156,209,Zimbabwe,0,1,1,4,10.5,Zimbabwe,11.63916667,78.69083333,
